,state,next_state,reward,action,done
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",-2,"(1, 'clockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",0,"(4, 'clockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",2,"(0, 'counterclockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",-2,"(4, 'clockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",2,"(4, 'counterclockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",-2,"(3, 'counterclockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",0,"(0, 'clockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",2,"(3, 'counterclockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",0,"(4, 'counterclockwise')",False
0,"[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]","[[[6, 1, 6], [2, 1, 6], [3, 1, 1]], [[1, 5, 4], [6, 2, 4], [1, 2, 5]], [[5, 6, 2], [4, 3, 2], [2, 3, 6]], [[3, 4, 3], [5, 4, 3], [6, 4, 4]], [[4, 2, 1], [3, 5, 1], [4, 5, 2]], [[2, 3, 5], [1, 6, 5], [5, 6, 3]]]",0,"(4, 'clockwise')",False
